,reviews
310,"The Jewel ,the latest attraction in Singapore when you land at our Changi International Airport, a must Visit the Fantastic Garden in an Airport Terminal with Spectacular views of Lights and Sound .Plus Plenty of Food & Beverages Restaurant. Also the a Theme  Park up the the upper floor."
311,An excellent place to chill. Immersive experience of sight and sound never before seen. Great variety of good restaurants and food.
312,"its a fun place and a must visit for all. Santosa, Garden by the way & Mall - All in One. So if one does not have time to visit all of them, then this is the place where you get all of them at one place."
313,We were in Singapore in the month of June with family .what a awesome  fountain with different colour and music.It looks though you looking a movie shoot.No words to express it was just to feel.
314,"A great place for locals and tourists to spend time in.. lots of food places, retail shops and entertainment options.. connected to the 3 airport terminals, it is like a paradise for tourists to spend at least half a day just to explore and take IG photos"
315,This place is gorgeous. The waterfall is enclosed by glass and it makes for a neat effect. We didn’t have time to see any of the attractions. The stores were not too high end and we found some souvenirs.
316,"Aside of magnificent technology which discover glass waterfall, i think it was overrated.  Actually it just a common mall which equipped with artifiacial waterfall. It was suitable for region which doesnt have natural waterfall attraction. There were so many attraction in this area, but we have to pay high price."
317,"I was looking forward to visit the Jewel, its connected via Terminal 2 and easy access externally.  If you are looking for restaurant and little bit of shopping, a bit of long walk from/to terminal. The main attractive is the waterfall/fountain and garden.
You would not enjoy it when crowded.

Whether this is a must see place, it's pretty fair to me..."
318,First I must qualify that I was there at like 4am. Yes most of the shops are closed except star bucks. But it’s really peaceful at the area around the fountain. If you need a place to think and chill. That might just be the spot.
319,"If you arrive early for your flight you will have it made here. You can check in your luggage way early then put your carry on into storage while you explore.
***a tip for getting there from T2 or T3***
Don't use the covered walkways unless you like long hot walks.
Just use the SkyTrain and hop off at T1. The Jewel entrance is a short walk away.
Overall it's an amazing achievement  and well worth putting on your must see list."
320,"After reading about the Jewel and watching the construction on the internet, it was with some excitement that we visited while we were recently in Singapore. What an unbelievable location. It is not impressive enough that there are four monster terminals at Changi but linked to"
321,"During a stopover at the Crowne Plaza in Singapore, we were fortunate enough to have time during the evening to view the light spectacular at the waterfall vortex in the middle of Jewel at the airport, which I believe runs during the evening on the half hour. The light show to"
